sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy,Tumour Average Depth,Normal Average Depth
CPCT02050053T,68,2,34.0,64.5735,0.62,3.4265,50.59,39.67
CPCT02310004T,93,12,7.75,87.7976,0.42,5.2024,48.99,37.66
WIDE01010124T,6,3,2.0,2.2183,0.47,3.7817,45.65,37.08
CPCT02100117T,2,2,1.0,-0.8654999999999999,0.62,2.8655,48.57,29.34
CPCT02300016T,3,3,1.0,0.306,0.85,2.694,46.18,35.51
CPCT02050299T,1,1,1.0,-0.9086,0.25,1.9086,49.1,35.84
CPCT02010528T,68,1,68.0,66.0962,0.69,1.9038,51.55,39.76
CPCT02040008T,2,2,1.0,0.1162,0.51,1.8838,52.12,39.83
CPCT02340037T,2,2,1.0,-1.2216,0.26,3.2216,49.9,29.15
CPCT02100164T,3,4,0.75,-0.6749,0.51,3.6749,50.23,30.34
CPCT02020830T,4,6,0.6666666666666666,0.6930999999999998,0.26,3.3069,47.93,40.56
CPCT02160027T,2,2,1.0,0.0948999999999999,0.7,1.9051,45.61,25.12
CPCT02020487T,2,2,1.0,0.0831999999999999,0.67,1.9168,46.6,30.99
CPCT02210069T,3,3,1.0,0.9146,0.69,2.0854,49.24,42.33
CPCT02260008T,2,2,1.0,-0.5980000000000003,0.82,2.5980000000000003,48.41,41.14
DO218072,4,4,1.0,-0.0450999999999996,0.29,4.0451,45.51,36.39
CPCT02010461T,2,5,0.4,-0.8386,0.78,2.8386,51.15,42.76
CPCT02020436T,1,1,1.0,-1.0739999999999998,0.81,2.074,51.37,30.35
CPCT02230101T,27,6,4.5,22.6915,0.21,4.3085,50.3,30.42
WIDE01010405T,2,2,1.0,-0.1499000000000001,0.31,2.1499,49.33,40.04
CPCT02260028T,1,1,1.0,-0.8432999999999999,0.51,1.8433,50.7,41.42
CPCT02240001T,25,2,12.5,21.8979,0.56,3.1021,48.78,40.7
CPCT02210051T,7,3,2.333333333333333,3.4647,0.27,3.5353,50.73,39.27
CPCT02130163T,5,3,1.6666666666666667,1.2574999999999998,0.72,3.7425,49.49,44.62
CPCT02230118T,2,2,1.0,-1.2833,0.55,3.2833,46.57,29.33
CPCT02080064T,4,4,1.0,-0.2248000000000001,0.83,4.2248,51.27,40.62
CPCT02010344TII,1,1,1.0,-0.7745,0.8,1.7745,50.78,33.72
CPCT02020288T,4,4,1.0,1.2064,0.83,2.7936,52.58,39.95
TCGA-A2-A0YGT,51,4,12.75,47.3814,0.57,3.6186,47.2,28.27
CPCT02011013T,4,2,2.0,0.3243,0.85,3.6757,50.22,34.87
